open,high,low,close,date
420.215,420.385,420.185,420.335,2021-06-01 10:24:00
420.335,420.415,420.235,420.315,2021-06-01 10:25:00
420.315,420.335,420.145,420.225,2021-06-01 10:26:00
420.225,420.295,420.155,420.295,2021-06-01 10:27:00
420.295,420.34,420.215,420.305,2021-06-01 10:28:00
420.305,420.445,420.25,420.445,2021-06-01 10:29:00
420.445,420.535,420.285,420.535,2021-06-01 10:30:00
420.535,420.645,420.525,420.645,2021-06-01 10:31:00
420.645,420.695,420.575,420.625,2021-06-01 10:32:00
420.625,420.645,420.405,420.48,2021-06-01 10:33:00
420.48,420.605,420.445,420.595,2021-06-01 10:34:00
420.595,420.645,420.495,420.51,2021-06-01 10:35:00
420.51,420.595,420.455,420.475,2021-06-01 10:36:00
420.475,420.535,420.255,420.305,2021-06-01 10:37:00
420.305,420.345,420.175,420.305,2021-06-01 10:38:00
420.305,420.315,420.145,420.175,2021-06-01 10:39:00
420.175,420.405,420.175,420.345,2021-06-01 10:40:00
420.345,420.505,420.29,420.5,2021-06-01 10:41:00
420.5,420.565,420.445,420.565,2021-06-01 10:42:00
420.565,420.635,420.525,420.605,2021-06-01 10:43:00
420.605,420.635,420.395,420.405,2021-06-01 10:44:00
420.405,420.435,420.235,420.255,2021-06-01 10:45:00
420.255,420.255,419.945,420.155,2021-06-01 10:46:00
420.155,420.295,420.085,420.225,2021-06-01 10:47:00
420.225,420.275,419.945,419.975,2021-06-01 10:48:00
419.975,420.065,419.805,419.875,2021-06-01 10:49:00
419.875,420.045,419.805,419.815,2021-06-01 10:50:00
419.815,419.875,419.555,419.875,2021-06-01 10:51:00
419.875,419.915,419.735,419.79,2021-06-01 10:52:00
419.79,419.855,419.555,419.645,2021-06-01 10:53:00
419.645,419.72,419.585,419.685,2021-06-01 10:54:00
419.685,419.685,419.485,419.525,2021-06-01 10:55:00
419.525,419.575,419.445,419.575,2021-06-01 10:56:00
419.575,419.62,419.515,419.6,2021-06-01 10:57:00
419.6,419.785,419.585,419.745,2021-06-01 10:58:00
419.745,419.855,419.71,419.825,2021-06-01 10:59:00
